State,Pollutant,Measure,Time,Value
Alabama,Carbon Dioxide,million metric tons of carbon dioxide,2000,77.4
Alabama,Carbon Dioxide,million metric tons of carbon dioxide,2001,74.5
Alabama,Carbon Dioxide,million metric tons of carbon dioxide,2002,78.2
Alabama,Carbon Dioxide,million metric tons of carbon dioxide,2003,79.1
Alabama,Carbon Dioxide,million metric tons of carbon dioxide,2004,78.5
Alabama,Carbon Dioxide,million metric tons of carbon dioxide,2005,82.3
Alabama,Carbon Dioxide,million metric tons of carbon dioxide,2006,84.4
Alabama,Carbon Dioxide,million metric tons of carbon dioxide,2007,86.7
Alabama,Carbon Dioxide,million metric tons of carbon dioxide,2008,81.8
Alabama,Carbon Dioxide,million metric tons of carbon dioxide,2009,67
Alabama,Carbon Dioxide,million metric tons of carbon dioxide,2010,77.4
Alabama,Carbon Dioxide,million metric tons of carbon dioxide,2011,74.6
Alabama,Carbon Dioxide,million metric tons of carbon dioxide,2012,67
Alabama,Carbon Dioxide,million metric tons of carbon dioxide,2013,64.7
Alabama,Carbon Dioxide,million metric tons of carbon dioxide,2014,65.5
Alabama,Carbon Dioxide,million metric tons of carbon dioxide,2015,62.4
Alabama,Carbon Dioxide,million metric tons of carbon dioxide,2016,55.6
Alabama,Carbon Dioxide,million metric tons of carbon dioxide,2017,51
Alabama,Carbon Dioxide,million metric tons of carbon dioxide,2018,53.9
Alabama,Carbon Dioxide,million metric tons of carbon dioxide,2019,48.5
Alabama,Carbon Dioxide,million metric tons of carbon dioxide,2020,42.7
Alaska,Carbon Dioxide,million metric tons of carbon dioxide,1970,1
Alaska,Carbon Dioxide,million metric tons of carbon dioxide,1971,1.2
Alaska,Carbon Dioxide,million metric tons of carbon dioxide,1972,1.3
Alaska,Carbon Dioxide,million metric tons of carbon dioxide,1973,1.4
Alaska,Carbon Dioxide,million metric tons of carbon dioxide,1974,1.6
Alaska,Carbon Dioxide,million metric tons of carbon dioxide,1975,1.8
Alaska,Carbon Dioxide,million metric tons of carbon dioxide,1976,2
Alaska,Carbon Dioxide,million metric tons of carbon dioxide,1977,2.1
Alaska,Carbon Dioxide,million metric tons of carbon dioxide,1978,2.1
Alaska,Carbon Dioxide,million metric tons of carbon dioxide,1979,2.3
Alaska,Carbon Dioxide,million metric tons of carbon dioxide,1980,2.3
Alaska,Carbon Dioxide,million metric tons of carbon dioxide,1981,2.4
Alaska,Carbon Dioxide,million metric tons of carbon dioxide,1982,2.6
Alaska,Carbon Dioxide,million metric tons of carbon dioxide,1983,2.6
Alaska,Carbon Dioxide,million metric tons of carbon dioxide,1984,2.6
Alaska,Carbon Dioxide,million metric tons of carbon dioxide,1985,2.7
Alaska,Carbon Dioxide,million metric tons of carbon dioxide,1986,2.7
Alaska,Carbon Dioxide,million metric tons of carbon dioxide,1987,2.4
Alaska,Carbon Dioxide,million metric tons of carbon dioxide,1988,2.4
Alaska,Carbon Dioxide,million metric tons of carbon dioxide,1989,2.6
Alaska,Carbon Dioxide,million metric tons of carbon dioxide,1990,2.6
Alaska,Carbon Dioxide,million metric tons of carbon dioxide,1991,2.5
Alaska,Carbon Dioxide,million metric tons of carbon dioxide,1992,2.3
Alaska,Carbon Dioxide,million metric tons of carbon dioxide,1993,2.3
Alaska,Carbon Dioxide,million metric tons of carbon dioxide,1994,2.3
Alaska,Carbon Dioxide,million metric tons of carbon dioxide,1995,2.4
Alaska,Carbon Dioxide,million metric tons of carbon dioxide,1996,2.5
Alaska,Carbon Dioxide,million metric tons of carbon dioxide,1997,2.7
Alaska,Carbon Dioxide,million metric tons of carbon dioxide,1998,2.9
Alaska,Carbon Dioxide,million metric tons of carbon dioxide,1999,3
Alaska,Carbon Dioxide,million metric tons of carbon dioxide,2000,3.2
Alaska,Carbon Dioxide,million metric tons of carbon dioxide,2001,3.3
Alaska,Carbon Dioxide,million metric tons of carbon dioxide,2002,3.3
Alaska,Carbon Dioxide,million metric tons of carbon dioxide,2003,3
Alaska,Carbon Dioxide,million metric tons of carbon dioxide,2004,3.2
Alaska,Carbon Dioxide,million metric tons of carbon dioxide,2005,3.2
Alaska,Carbon Dioxide,million metric tons of carbon dioxide,2006,3.5
Alaska,Carbon Dioxide,million metric tons of carbon dioxide,2007,3.3
Alaska,Carbon Dioxide,million metric tons of carbon dioxide,2008,3.3
Alaska,Carbon Dioxide,million metric tons of carbon dioxide,2009,3.2
Alaska,Carbon Dioxide,million metric tons of carbon dioxide,2010,3
Alaska,Carbon Dioxide,million metric tons of carbon dioxide,2011,3.2
Alaska,Carbon Dioxide,million metric tons of carbon dioxide,2012,3.1
Alaska,Carbon Dioxide,million metric tons of carbon dioxide,2013,2.6
Alaska,Carbon Dioxide,million metric tons of carbon dioxide,2014,2.9
Alaska,Carbon Dioxide,million metric tons of carbon dioxide,2015,3
Alaska,Carbon Dioxide,million metric tons of carbon dioxide,2016,2.8
Alaska,Carbon Dioxide,million metric tons of carbon dioxide,2017,2.8
Alaska,Carbon Dioxide,million metric tons of carbon dioxide,2018,2.7
Alaska,Carbon Dioxide,million metric tons of carbon dioxide,2019,2.7
Alaska,Carbon Dioxide,million metric tons of carbon dioxide,2020,2.7
Arizona,Carbon Dioxide,million metric tons of carbon dioxide,1970,4.1
Arizona,Carbon Dioxide,million metric tons of carbon dioxide,1971,4.9
Arizona,Carbon Dioxide,million metric tons of carbon dioxide,1972,5.7
Arizona,Carbon Dioxide,million metric tons of carbon dioxide,1973,7.6
Arizona,Carbon Dioxide,million metric tons of carbon dioxide,1974,10.8
Arizona,Carbon Dioxide,million metric tons of carbon dioxide,1975,12.9
Arizona,Carbon Dioxide,million metric tons of carbon dioxide,1976,16.9
Arizona,Carbon Dioxide,million metric tons of carbon dioxide,1977,21
Arizona,Carbon Dioxide,million metric tons of carbon dioxide,1978,20
Arizona,Carbon Dioxide,million metric tons of carbon dioxide,1979,25.2
Arizona,Carbon Dioxide,million metric tons of carbon dioxide,1980,25.6
Arizona,Carbon Dioxide,million metric tons of carbon dioxide,1981,31.5
Arizona,Carbon Dioxide,million metric tons of carbon dioxide,1982,31
Arizona,Carbon Dioxide,million metric tons of carbon dioxide,1983,26.6
Arizona,Carbon Dioxide,million metric tons of carbon dioxide,1984,29.2
Arizona,Carbon Dioxide,million metric tons of carbon dioxide,1985,31.3
Arizona,Carbon Dioxide,million metric tons of carbon dioxide,1986,25.5
Arizona,Carbon Dioxide,million metric tons of carbon dioxide,1987,27.3
Arizona,Carbon Dioxide,million metric tons of carbon dioxide,1988,29.7
Arizona,Carbon Dioxide,million metric tons of carbon dioxide,1989,35.2
Arizona,Carbon Dioxide,million metric tons of carbon dioxide,1990,32.8
Arizona,Carbon Dioxide,million metric tons of carbon dioxide,1991,33.1
Arizona,Carbon Dioxide,million metric tons of carbon dioxide,1992,35.7
Arizona,Carbon Dioxide,million metric tons of carbon dioxide,1993,36.9
Arizona,Carbon Dioxide,million metric tons of carbon dioxide,1994,38.3
Arizona,Carbon Dioxide,million metric tons of carbon dioxide,1995,32.6
Arizona,Carbon Dioxide,million metric tons of carbon dioxide,1996,32.6
Arizona,Carbon Dioxide,million metric tons of carbon dioxide,1997,35.3
Arizona,Carbon Dioxide,million metric tons of carbon dioxide,1998,37.8
Arizona,Carbon Dioxide,million metric tons of carbon dioxide,1999,40.1
Arizona,Carbon Dioxide,million metric tons of carbon dioxide,2000,45.1
Arizona,Carbon Dioxide,million metric tons of carbon dioxide,2001,46.3
Arizona,Carbon Dioxide,million metric tons of carbon dioxide,2002,45.4
Arizona,Carbon Dioxide,million metric tons of carbon dioxide,2003,46.6
Arizona,Carbon Dioxide,million metric tons of carbon dioxide,2004,52.2
Arizona,Carbon Dioxide,million metric tons of carbon dioxide,2005,51.3
Arizona,Carbon Dioxide,million metric tons of carbon dioxide,2006,53.2
Arizona,Carbon Dioxide,million metric tons of carbon dioxide,2007,55.6
Arizona,Carbon Dioxide,million metric tons of carbon dioxide,2008,58.1
Arizona,Carbon Dioxide,million metric tons of carbon dioxide,2009,52.9
Arizona,Carbon Dioxide,million metric tons of carbon dioxide,2010,54.9
Arizona,Carbon Dioxide,million metric tons of carbon dioxide,2011,52.8
Arizona,Carbon Dioxide,million metric tons of carbon dioxide,2012,51.8
Arizona,Carbon Dioxide,million metric tons of carbon dioxide,2013,55.2
Arizona,Carbon Dioxide,million metric tons of carbon dioxide,2014,53.5
Arizona,Carbon Dioxide,million metric tons of carbon dioxide,2015,50
Arizona,Carbon Dioxide,million metric tons of carbon dioxide,2016,44.6
Arizona,Carbon Dioxide,million metric tons of carbon dioxide,2017,43.8
Arizona,Carbon Dioxide,million metric tons of carbon dioxide,2018,46.8
Arizona,Carbon Dioxide,million metric tons of carbon dioxide,2019,43.5
Arizona,Carbon Dioxide,million metric tons of carbon dioxide,2020,35.6
Arkansas,Carbon Dioxide,million metric tons of carbon dioxide,1970,6.1
Arkansas,Carbon Dioxide,million metric tons of carbon dioxide,1971,5.9
Arkansas,Carbon Dioxide,million metric tons of carbon dioxide,1972,6.1
Arkansas,Carbon Dioxide,million metric tons of carbon dioxide,1973,6
Arkansas,Carbon Dioxide,million metric tons of carbon dioxide,1974,5.3
Arkansas,Carbon Dioxide,million metric tons of carbon dioxide,1975,3.8
Arkansas,Carbon Dioxide,million metric tons of carbon dioxide,1976,4.9
Arkansas,Carbon Dioxide,million metric tons of carbon dioxide,1977,7
Arkansas,Carbon Dioxide,million metric tons of carbon dioxide,1978,8.4
Arkansas,Carbon Dioxide,million metric tons of carbon dioxide,1979,7.6
Arkansas,Carbon Dioxide,million metric tons of carbon dioxide,1980,7.6
Arkansas,Carbon Dioxide,million metric tons of carbon dioxide,1981,12.3
Arkansas,Carbon Dioxide,million metric tons of carbon dioxide,1982,13.1
Arkansas,Carbon Dioxide,million metric tons of carbon dioxide,1983,17.9
Arkansas,Carbon Dioxide,million metric tons of carbon dioxide,1984,16.1
Arkansas,Carbon Dioxide,million metric tons of carbon dioxide,1985,20.8
Arkansas,Carbon Dioxide,million metric tons of carbon dioxide,1986,22.2
Arkansas,Carbon Dioxide,million metric tons of carbon dioxide,1987,21.2
Arkansas,Carbon Dioxide,million metric tons of carbon dioxide,1988,21.6
Arkansas,Carbon Dioxide,million metric tons of carbon dioxide,1989,20.5
Arkansas,Carbon Dioxide,million metric tons of carbon dioxide,1990,21.5
Arkansas,Carbon Dioxide,million metric tons of carbon dioxide,1991,21.5
Arkansas,Carbon Dioxide,million metric tons of carbon dioxide,1992,21.9
Arkansas,Carbon Dioxide,million metric tons of carbon dioxide,1993,19.5
Arkansas,Carbon Dioxide,million metric tons of carbon dioxide,1994,21.7
Arkansas,Carbon Dioxide,million metric tons of carbon dioxide,1995,23.6
Arkansas,Carbon Dioxide,million metric tons of carbon dioxide,1996,25.8
Arkansas,Carbon Dioxide,million metric tons of carbon dioxide,1997,24.2
Arkansas,Carbon Dioxide,million metric tons of carbon dioxide,1998,25.9
Arkansas,Carbon Dioxide,million metric tons of carbon dioxide,1999,27
Arkansas,Carbon Dioxide,million metric tons of carbon dioxide,2000,26.6
Arkansas,Carbon Dioxide,million metric tons of carbon dioxide,2001,27.2
Arkansas,Carbon Dioxide,million metric tons of carbon dioxide,2002,25.8
Arkansas,Carbon Dioxide,million metric tons of carbon dioxide,2003,26.6
Arkansas,Carbon Dioxide,million metric tons of carbon dioxide,2004,27.4
Arkansas,Carbon Dioxide,million metric tons of carbon dioxide,2005,25.6
Arkansas,Carbon Dioxide,million metric tons of carbon dioxide,2006,27.6
Arkansas,Carbon Dioxide,million metric tons of carbon dioxide,2007,28.8
Arkansas,Carbon Dioxide,million metric tons of carbon dioxide,2008,29.3
Arkansas,Carbon Dioxide,million metric tons of carbon dioxide,2009,29.1
Arkansas,Carbon Dioxide,million metric tons of carbon dioxide,2010,32.6
Arkansas,Carbon Dioxide,million metric tons of carbon dioxide,2011,34.5
Arkansas,Carbon Dioxide,million metric tons of carbon dioxide,2012,34.9
Arkansas,Carbon Dioxide,million metric tons of carbon dioxide,2013,35.9
Arkansas,Carbon Dioxide,million metric tons of carbon dioxide,2014,35.8
Arkansas,Carbon Dioxide,million metric tons of carbon dioxide,2015,27.3
Arkansas,Carbon Dioxide,million metric tons of carbon dioxide,2016,30.5
Arkansas,Carbon Dioxide,million metric tons of carbon dioxide,2017,32.1
Arkansas,Carbon Dioxide,million metric tons of carbon dioxide,2018,37
Arkansas,Carbon Dioxide,million metric tons of carbon dioxide,2019,31.2
Arkansas,Carbon Dioxide,million metric tons of carbon dioxide,2020,22.6
California,Carbon Dioxide,million metric tons of carbon dioxide,1970,45.8
California,Carbon Dioxide,million metric tons of carbon dioxide,1971,47.5
California,Carbon Dioxide,million metric tons of carbon dioxide,1972,53.8
California,Carbon Dioxide,million metric tons of carbon dioxide,1973,61.6
California,Carbon Dioxide,million metric tons of carbon dioxide,1974,47.2
California,Carbon Dioxide,million metric tons of carbon dioxide,1975,52.5
California,Carbon Dioxide,million metric tons of carbon dioxide,1976,62.4
California,Carbon Dioxide,million metric tons of carbon dioxide,1977,79.2
California,Carbon Dioxide,million metric tons of carbon dioxide,1978,64.1
California,Carbon Dioxide,million metric tons of carbon dioxide,1979,72.1
California,Carbon Dioxide,million metric tons of carbon dioxide,1980,59.2
California,Carbon Dioxide,million metric tons of carbon dioxide,1981,58.3
California,Carbon Dioxide,million metric tons of carbon dioxide,1982,37.4
California,Carbon Dioxide,million metric tons of carbon dioxide,1983,31.1
California,Carbon Dioxide,million metric tons of carbon dioxide,1984,34.1
California,Carbon Dioxide,million metric tons of carbon dioxide,1985,39.4
California,Carbon Dioxide,million metric tons of carbon dioxide,1986,27.3
California,Carbon Dioxide,million metric tons of carbon dioxide,1987,37.1
California,Carbon Dioxide,million metric tons of carbon dioxide,1988,36.3
California,Carbon Dioxide,million metric tons of carbon dioxide,1989,43.9
California,Carbon Dioxide,million metric tons of carbon dioxide,1990,40.2
California,Carbon Dioxide,million metric tons of carbon dioxide,1991,38
California,Carbon Dioxide,million metric tons of carbon dioxide,1992,45.5
California,Carbon Dioxide,million metric tons of carbon dioxide,1993,41.9
California,Carbon Dioxide,million metric tons of carbon dioxide,1994,49.4
California,Carbon Dioxide,million metric tons of carbon dioxide,1995,37.1
California,Carbon Dioxide,million metric tons of carbon dioxide,1996,32.8
California,Carbon Dioxide,million metric tons of carbon dioxide,1997,35.8
California,Carbon Dioxide,million metric tons of carbon dioxide,1998,39.3
California,Carbon Dioxide,million metric tons of carbon dioxide,1999,43.3
California,Carbon Dioxide,million metric tons of carbon dioxide,2000,52.9
California,Carbon Dioxide,million metric tons of carbon dioxide,2001,57.8
California,Carbon Dioxide,million metric tons of carbon dioxide,2002,43.7
California,Carbon Dioxide,million metric tons of carbon dioxide,2003,42.7
California,Carbon Dioxide,million metric tons of carbon dioxide,2004,46.4
California,Carbon Dioxide,million metric tons of carbon dioxide,2005,41.9
California,Carbon Dioxide,million metric tons of carbon dioxide,2006,46.5
California,Carbon Dioxide,million metric tons of carbon dioxide,2007,50
California,Carbon Dioxide,million metric tons of carbon dioxide,2008,50.9
California,Carbon Dioxide,million metric tons of carbon dioxide,2009,47.9
California,Carbon Dioxide,million metric tons of carbon dioxide,2010,43.5
California,Carbon Dioxide,million metric tons of carbon dioxide,2011,36.4
California,Carbon Dioxide,million metric tons of carbon dioxide,2012,48
California,Carbon Dioxide,million metric tons of carbon dioxide,2013,45.7
California,Carbon Dioxide,million metric tons of carbon dioxide,2014,46.2
California,Carbon Dioxide,million metric tons of carbon dioxide,2015,44.1
California,Carbon Dioxide,million metric tons of carbon dioxide,2016,36.5
California,Carbon Dioxide,million metric tons of carbon dioxide,2017,32.9
California,Carbon Dioxide,million metric tons of carbon dioxide,2018,33.6
California,Carbon Dioxide,million metric tons of carbon dioxide,2019,31.1
California,Carbon Dioxide,million metric tons of carbon dioxide,2020,33.6
Colordo,Carbon Dioxide,million metric tons of carbon dioxide,1970,9.3
Colordo,Carbon Dioxide,million metric tons of carbon dioxide,1971,9.7
Colordo,Carbon Dioxide,million metric tons of carbon dioxide,1972,10.3
Colordo,Carbon Dioxide,million metric tons of carbon dioxide,1973,11.9
Colordo,Carbon Dioxide,million metric tons of carbon dioxide,1974,12.6
Colordo,Carbon Dioxide,million metric tons of carbon dioxide,1975,14.2
Colordo,Carbon Dioxide,million metric tons of carbon dioxide,1976,16.3
Colordo,Carbon Dioxide,million metric tons of carbon dioxide,1977,19.1
Colordo,Carbon Dioxide,million metric tons of carbon dioxide,1978,19
Colordo,Carbon Dioxide,million metric tons of carbon dioxide,1979,20.6
Colordo,Carbon Dioxide,million metric tons of carbon dioxide,1980,21.1
Colordo,Carbon Dioxide,million metric tons of carbon dioxide,1981,23.3
Colordo,Carbon Dioxide,million metric tons of carbon dioxide,1982,24
Colordo,Carbon Dioxide,million metric tons of carbon dioxide,1983,22.9
Colordo,Carbon Dioxide,million metric tons of carbon dioxide,1984,25.6
Colordo,Carbon Dioxide,million metric tons of carbon dioxide,1985,26.8
Colordo,Carbon Dioxide,million metric tons of carbon dioxide,1986,26.6
Colordo,Carbon Dioxide,million metric tons of carbon dioxide,1987,27
Colordo,Carbon Dioxide,million metric tons of carbon dioxide,1988,28.5
Colordo,Carbon Dioxide,million metric tons of carbon dioxide,1989,30.1
Colordo,Carbon Dioxide,million metric tons of carbon dioxide,1990,31.2
Colordo,Carbon Dioxide,million metric tons of carbon dioxide,1991,30.6
Colordo,Carbon Dioxide,million metric tons of carbon dioxide,1992,31.6
Colordo,Carbon Dioxide,million metric tons of carbon dioxide,1993,32
Colordo,Carbon Dioxide,million metric tons of carbon dioxide,1994,33.4
Colordo,Carbon Dioxide,million metric tons of carbon dioxide,1995,32.5
Colordo,Carbon Dioxide,million metric tons of carbon dioxide,1996,34.1
Colordo,Carbon Dioxide,million metric tons of carbon dioxide,1997,34.3
Colordo,Carbon Dioxide,million metric tons of carbon dioxide,1998,35.7
Colordo,Carbon Dioxide,million metric tons of carbon dioxide,1999,35.9
Colordo,Carbon Dioxide,million metric tons of carbon dioxide,2000,39.5
Colordo,Carbon Dioxide,million metric tons of carbon dioxide,2001,41.8
Colordo,Carbon Dioxide,million metric tons of carbon dioxide,2002,40.6
Colordo,Carbon Dioxide,million metric tons of carbon dioxide,2003,40.8
Colordo,Carbon Dioxide,million metric tons of carbon dioxide,2004,40.8
Colordo,Carbon Dioxide,million metric tons of carbon dioxide,2005,41.1
Colordo,Carbon Dioxide,million metric tons of carbon dioxide,2006,42
Colordo,Carbon Dioxide,million metric tons of carbon dioxide,2007,43.4
Colordo,Carbon Dioxide,million metric tons of carbon dioxide,2008,41.5
Colordo,Carbon Dioxide,million metric tons of carbon dioxide,2009,38.8
Colordo,Carbon Dioxide,million metric tons of carbon dioxide,2010,40.3
Colordo,Carbon Dioxide,million metric tons of carbon dioxide,2011,39.3
Colordo,Carbon Dioxide,million metric tons of carbon dioxide,2012,39.5
Colordo,Carbon Dioxide,million metric tons of carbon dioxide,2013,39
Colordo,Carbon Dioxide,million metric tons of carbon dioxide,2014,38.1
Colordo,Carbon Dioxide,million metric tons of carbon dioxide,2015,37
Colordo,Carbon Dioxide,million metric tons of carbon dioxide,2016,35.6
Colordo,Carbon Dioxide,million metric tons of carbon dioxide,2017,35.2
Colordo,Carbon Dioxide,million metric tons of carbon dioxide,2018,34.2
Colordo,Carbon Dioxide,million metric tons of carbon dioxide,2019,33.5
Colordo,Carbon Dioxide,million metric tons of carbon dioxide,2020,28.6
Connecticut,Carbon Dioxide,million metric tons of carbon dioxide,1970,14.3
Connecticut,Carbon Dioxide,million metric tons of carbon dioxide,1971,13.7
Connecticut,Carbon Dioxide,million metric tons of carbon dioxide,1972,13.8
Connecticut,Carbon Dioxide,million metric tons of carbon dioxide,1973,14.3
Connecticut,Carbon Dioxide,million metric tons of carbon dioxide,1974,12.9
Connecticut,Carbon Dioxide,million metric tons of carbon dioxide,1975,10.5
Connecticut,Carbon Dioxide,million metric tons of carbon dioxide,1976,9.4
Connecticut,Carbon Dioxide,million metric tons of carbon dioxide,1977,8.9
Connecticut,Carbon Dioxide,million metric tons of carbon dioxide,1978,9.3
Connecticut,Carbon Dioxide,million metric tons of carbon dioxide,1979,8.6
Connecticut,Carbon Dioxide,million metric tons of carbon dioxide,1980,10.2
Connecticut,Carbon Dioxide,million metric tons of carbon dioxide,1981,8.6
Connecticut,Carbon Dioxide,million metric tons of carbon dioxide,1982,8.2
Connecticut,Carbon Dioxide,million metric tons of carbon dioxide,1983,9.3
Connecticut,Carbon Dioxide,million metric tons of carbon dioxide,1984,9.9
Connecticut,Carbon Dioxide,million metric tons of carbon dioxide,1985,10.1
Connecticut,Carbon Dioxide,million metric tons of carbon dioxide,1986,10.6
Connecticut,Carbon Dioxide,million metric tons of carbon dioxide,1987,9.8
Connecticut,Carbon Dioxide,million metric tons of carbon dioxide,1988,10.9
Connecticut,Carbon Dioxide,million metric tons of carbon dioxide,1989,11.6
Connecticut,Carbon Dioxide,million metric tons of carbon dioxide,1990,11
Connecticut,Carbon Dioxide,million metric tons of carbon dioxide,1991,10.6
Connecticut,Carbon Dioxide,million metric tons of carbon dioxide,1992,8.6
Connecticut,Carbon Dioxide,million metric tons of carbon dioxide,1993,7.4
Connecticut,Carbon Dioxide,million metric tons of carbon dioxide,1994,7.3
Connecticut,Carbon Dioxide,million metric tons of carbon dioxide,1995,8.1
Connecticut,Carbon Dioxide,million metric tons of carbon dioxide,1996,9.1
Connecticut,Carbon Dioxide,million metric tons of carbon dioxide,1997,12.2
Connecticut,Carbon Dioxide,million metric tons of carbon dioxide,1998,11.1
Connecticut,Carbon Dioxide,million metric tons of carbon dioxide,1999,9.9
Connecticut,Carbon Dioxide,million metric tons of carbon dioxide,2000,10.6
Connecticut,Carbon Dioxide,million metric tons of carbon dioxide,2001,9.5
Connecticut,Carbon Dioxide,million metric tons of carbon dioxide,2002,8.6
Connecticut,Carbon Dioxide,million metric tons of carbon dioxide,2003,7.9
Connecticut,Carbon Dioxide,million metric tons of carbon dioxide,2004,8.7
Connecticut,Carbon Dioxide,million metric tons of carbon dioxide,2005,9.9
Connecticut,Carbon Dioxide,million metric tons of carbon dioxide,2006,9.5
Connecticut,Carbon Dioxide,million metric tons of carbon dioxide,2007,8.8
Connecticut,Carbon Dioxide,million metric tons of carbon dioxide,2008,8
Connecticut,Carbon Dioxide,million metric tons of carbon dioxide,2009,6.6
Connecticut,Carbon Dioxide,million metric tons of carbon dioxide,2010,7.7
Connecticut,Carbon Dioxide,million metric tons of carbon dioxide,2011,6.6
Connecticut,Carbon Dioxide,million metric tons of carbon dioxide,2012,7.2
Connecticut,Carbon Dioxide,million metric tons of carbon dioxide,2013,6.8
Connecticut,Carbon Dioxide,million metric tons of carbon dioxide,2014,6.7
Connecticut,Carbon Dioxide,million metric tons of carbon dioxide,2015,7.4
Connecticut,Carbon Dioxide,million metric tons of carbon dioxide,2016,7
Connecticut,Carbon Dioxide,million metric tons of carbon dioxide,2017,6.3
Connecticut,Carbon Dioxide,million metric tons of carbon dioxide,2018,8
Connecticut,Carbon Dioxide,million metric tons of carbon dioxide,2019,7.9
Connecticut,Carbon Dioxide,million metric tons of carbon dioxide,2020,8.7
Delaware,Carbon Dioxide,million metric tons of carbon dioxide,1970,5.3
Delaware,Carbon Dioxide,million metric tons of carbon dioxide,1971,5.1
Delaware,Carbon Dioxide,million metric tons of carbon dioxide,1972,4.8
Delaware,Carbon Dioxide,million metric tons of carbon dioxide,1973,5.2
Delaware,Carbon Dioxide,million metric tons of carbon dioxide,1974,6
Delaware,Carbon Dioxide,million metric tons of carbon dioxide,1975,5.3
Delaware,Carbon Dioxide,million metric tons of carbon dioxide,1976,5.5
Delaware,Carbon Dioxide,million metric tons of carbon dioxide,1977,5.6
Delaware,Carbon Dioxide,million metric tons of carbon dioxide,1978,6
Delaware,Carbon Dioxide,million metric tons of carbon dioxide,1979,5.9
Delaware,Carbon Dioxide,million metric tons of carbon dioxide,1980,5.7
Delaware,Carbon Dioxide,million metric tons of carbon dioxide,1981,7.4
Delaware,Carbon Dioxide,million metric tons of carbon dioxide,1982,6.3
Delaware,Carbon Dioxide,million metric tons of carbon dioxide,1983,8.8
Delaware,Carbon Dioxide,million metric tons of carbon dioxide,1984,8.6
Delaware,Carbon Dioxide,million metric tons of carbon dioxide,1985,8.2
Delaware,Carbon Dioxide,million metric tons of carbon dioxide,1986,8
Delaware,Carbon Dioxide,million metric tons of carbon dioxide,1987,8
Delaware,Carbon Dioxide,million metric tons of carbon dioxide,1988,8.4
Delaware,Carbon Dioxide,million metric tons of carbon dioxide,1989,7.8
Delaware,Carbon Dioxide,million metric tons of carbon dioxide,1990,7.6
Delaware,Carbon Dioxide,million metric tons of carbon dioxide,1991,7.8
Delaware,Carbon Dioxide,million metric tons of carbon dioxide,1992,6.8
Delaware,Carbon Dioxide,million metric tons of carbon dioxide,1993,7.6
Delaware,Carbon Dioxide,million metric tons of carbon dioxide,1994,7.2
Delaware,Carbon Dioxide,million metric tons of carbon dioxide,1995,6.7
Delaware,Carbon Dioxide,million metric tons of carbon dioxide,1996,6.6
Delaware,Carbon Dioxide,million metric tons of carbon dioxide,1997,5.7
Delaware,Carbon Dioxide,million metric tons of carbon dioxide,1998,5.5
Delaware,Carbon Dioxide,million metric tons of carbon dioxide,1999,5.1
Delaware,Carbon Dioxide,million metric tons of carbon dioxide,2000,5.3
Delaware,Carbon Dioxide,million metric tons of carbon dioxide,2001,5.2
Delaware,Carbon Dioxide,million metric tons of carbon dioxide,2002,5.1
Delaware,Carbon Dioxide,million metric tons of carbon dioxide,2003,5.9
